Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 2,Bsmt Unf SF,2nd Flr SF,Low Qual Fin SF,Full Bath,Half Bath,Bedroom AbvGr,Fireplaces,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,anomaly,SalePrice,Neighborhood,Exterior 1st,Exterior 2nd,BsmtFin Type 1,Heating QC
31770,6,5,112.0,0.0,441.0,0,0,1,0,3,2,210,62,0,0,0,0,0,5,2010,1,215000,NAmes,BrkFace,Plywood,BLQ,Fa
11622,5,6,0.0,144.0,270.0,0,0,1,0,2,0,140,0,0,0,120,0,0,6,2010,1,105000,NAmes,VinylSd,VinylSd,Rec,TA
14267,6,6,108.0,0.0,406.0,0,0,1,1,3,0,393,36,0,0,0,0,12500,6,2010,-1,172000,NAmes,Wd Sdng,Wd Sdng,ALQ,TA
11160,7,5,0.0,0.0,1045.0,0,0,2,1,3,2,0,0,0,0,0,0,0,4,2010,1,244000,NAmes,BrkFace,BrkFace,ALQ,Ex
13830,5,5,0.0,0.0,137.0,701,0,2,1,3,1,212,34,0,0,0,0,0,3,2010,1,189900,Gilbert,VinylSd,VinylSd,GLQ,Gd
9978,6,6,20.0,0.0,324.0,678,0,2,1,3,1,360,36,0,0,0,0,0,6,2010,1,195500,Gilbert,VinylSd,VinylSd,GLQ,Ex
4920,8,5,0.0,0.0,722.0,0,0,2,0,2,0,0,0,170,0,0,0,0,4,2010,1,213500,StoneBr,CemntBd,CmentBd,GLQ,Ex
5005,8,5,0.0,0.0,1017.0,0,0,2,0,2,0,0,82,0,0,144,0,0,1,2010,1,191500,StoneBr,HdBoard,HdBoard,ALQ,Ex
5389,8,5,0.0,0.0,415.0,0,0,2,0,2,1,237,152,0,0,0,0,0,3,2010,1,236500,StoneBr,CemntBd,CmentBd,GLQ,Ex
7500,7,5,0.0,0.0,994.0,776,0,2,1,3,1,140,60,0,0,0,0,0,6,2010,1,189000,Gilbert,VinylSd,VinylSd,Unf,Gd
