Lot Area,Overall Qual,Mas Vnr Area,Bsmt Unf SF,2nd Flr SF,Full Bath,Fireplaces,Wood Deck SF,Open Porch SF,Mo Sold,SalePrice,anomaly
31770,6,112.0,441.0,0,1,2,210,62,5,215000,1
11622,5,0.0,270.0,0,1,0,140,0,6,105000,1
14267,6,108.0,406.0,0,1,0,393,36,6,172000,-1
11160,7,0.0,1045.0,0,2,2,0,0,4,244000,1
13830,5,0.0,137.0,701,2,1,212,34,3,189900,1
9978,6,20.0,324.0,678,2,1,360,36,6,195500,1
4920,8,0.0,722.0,0,2,0,0,0,4,213500,1
5005,8,0.0,1017.0,0,2,0,0,82,1,191500,1
5389,8,0.0,415.0,0,2,1,237,152,3,236500,1
7500,7,0.0,994.0,776,2,1,140,60,6,189000,1
10000,6,0.0,763.0,892,2,1,157,84,4,175900,1
7980,6,0.0,233.0,0,2,0,483,21,3,185000,1
8402,6,0.0,789.0,676,2,1,0,75,5,180400,1
10176,7,0.0,663.0,0,1,1,192,0,2,171500,1
6820,8,0.0,0.0,0,1,0,0,54,6,212000,-1
53504,8,603.0,234.0,1589,3,1,503,36,6,538000,-1
12134,8,0.0,132.0,672,2,0,325,12,6,164000,1
11394,9,350.0,411.0,0,1,1,113,0,6,394432,1
19138,4,0.0,744.0,0,1,0,0,0,6,141000,1
13175,6,119.0,589.0,0,2,2,349,0,2,210000,1
11751,6,480.0,1139.0,0,2,1,0,122,1,190000,1
10625,7,81.0,0.0,0,2,2,0,120,1,170000,1
7500,7,0.0,281.0,860,2,0,0,96,1,216000,1
11241,6,180.0,426.0,0,1,1,0,0,3,149000,1
12537,5,0.0,344.0,0,1,1,0,0,4,149900,1
8450,5,0.0,281.0,0,1,1,0,85,7,142000,1
8400,4,0.0,0.0,0,1,0,240,0,4,126000,1
10500,4,0.0,432.0,0,1,1,0,0,4,115000,1
5858,7,0.0,354.0,0,2,1,203,68,6,184000,1
1680,6,504.0,327.0,504,1,0,275,0,2,96000,1
1680,5,492.0,225.0,567,1,0,0,0,3,105500,1
1680,6,381.0,525.0,567,1,0,0,0,3,88000,1
4043,6,0.0,709.0,0,2,1,0,55,7,127500,1
2280,6,0.0,341.0,601,2,1,173,0,6,149900,1
2280,7,0.0,836.0,0,1,0,0,30,6,120000,1
2280,6,0.0,544.0,601,2,1,26,0,7,146000,1
12858,9,162.0,1590.0,707,2,1,144,133,1,376162,1
11478,8,200.0,486.0,0,2,1,0,50,5,306000,1
10159,9,450.0,284.0,0,2,1,168,95,4,395192,1
12883,8,256.0,1544.0,0,2,0,0,35,6,290941,1
12182,7,226.0,340.0,0,2,1,0,70,5,220000,1
11520,9,615.0,1588.0,0,2,1,192,74,6,275000,1
14122,8,240.0,1794.0,0,2,1,0,119,2,259000,1
10171,7,168.0,1515.0,0,2,0,0,0,3,214000,1
12919,9,760.0,142.0,0,2,2,0,67,3,611657,-1
6371,7,128.0,625.0,0,2,1,192,35,6,224000,1
14300,9,1095.0,1473.0,0,2,2,220,150,6,500000,-1
13650,8,232.0,1093.0,563,2,1,238,130,6,320000,1
7658,9,412.0,1296.0,0,2,1,196,82,2,319900,1
7132,8,178.0,1346.0,0,2,1,120,49,4,205000,1
2628,7,106.0,764.0,862,2,0,0,27,6,175500,1
18494,6,0.0,1324.0,0,2,0,36,23,1,199500,1
3203,7,14.0,1129.0,0,2,0,100,116,1,160000,1
3182,8,16.0,1232.0,0,2,1,146,20,4,192000,1
13300,7,0.0,58.0,630,2,1,100,0,6,184500,1
7851,6,81.33333333333333,235.0,1100,2,2,288,48,5,216500,1
8577,7,0.0,847.0,886,2,1,144,48,4,185088,1
7750,7,0.0,134.0,656,2,1,180,0,4,180000,1
9505,7,180.0,884.0,1151,2,1,144,48,5,222500,1
14774,9,165.0,1393.0,1177,2,1,668,30,5,333168,1
17433,8,114.0,1629.0,830,2,1,23,172,1,355000,-1
10593,7,338.0,801.0,0,2,1,240,56,3,260400,1
12256,8,362.0,431.0,1122,2,2,186,32,4,325000,1
11764,8,348.0,628.0,1106,2,1,132,57,4,290000,1
16770,7,30.0,1195.0,644,2,0,0,81,6,221000,1
14720,8,579.0,1217.0,1185,2,1,283,86,3,410000,1
8987,8,226.0,1595.0,0,2,1,144,0,5,221500,1
9215,7,0.0,1218.0,0,2,0,0,136,4,204500,1
8640,7,0.0,732.0,783,2,0,169,45,6,215200,1
9000,8,36.0,488.0,0,2,0,144,168,4,262500,1
12552,7,0.0,769.0,956,2,1,0,136,5,254900,1
10440,6,0.0,54.0,0,2,1,0,102,5,271500,1
10142,7,0.0,300.0,1128,2,0,0,45,1,233000,1
11920,7,122.0,831.0,828,2,0,144,68,4,181000,1
8880,7,0.0,253.0,888,2,2,0,130,5,205000,1
8012,6,0.0,261.0,0,2,1,80,0,5,143000,1
11218,6,0.0,1055.0,790,2,1,635,104,5,189000,1
7892,6,0.0,918.0,0,2,1,28,0,4,99500,1
7175,6,0.0,0.0,0,1,0,353,0,2,125000,1
9453,7,0.0,594.0,730,2,0,370,70,2,194500,1
9672,6,0.0,702.0,0,2,0,0,0,5,152000,1
8400,6,130.0,650.0,676,2,1,0,50,4,171000,1
9800,5,0.0,816.0,0,1,0,121,0,4,67500,1
8930,6,0.0,0.0,584,2,0,0,0,4,112000,1
11782,5,0.0,210.0,0,1,0,192,0,6,148000,1
8450,5,0.0,224.0,0,1,1,416,144,4,138500,1
9819,5,31.0,432.0,0,1,0,0,0,2,122000,1
7500,5,0.0,216.0,0,1,0,0,0,6,133000,1
6897,5,0.0,381.0,0,1,0,0,104,4,127000,1
15410,6,250.0,223.0,0,2,2,296,0,4,169000,-1
10186,7,0.0,76.0,862,2,1,240,39,6,190000,1
13143,8,504.0,0.0,1098,2,1,32,130,6,362500,1
11134,8,180.0,261.0,823,2,1,198,30,6,285000,1
4835,7,0.0,190.0,0,2,1,168,50,3,260000,1
3515,7,0.0,840.0,840,2,0,0,111,1,190000,1
3215,7,120.0,320.0,600,2,0,0,172,4,155000,1
3182,7,0.0,600.0,600,2,0,0,172,6,151000,1
2544,7,0.0,190.0,600,2,0,0,172,2,149500,1
2544,6,216.0,224.0,636,2,0,0,166,5,152000,1
4403,7,432.0,892.0,0,2,1,0,144,6,222000,1
2117,6,216.0,378.0,804,2,0,0,32,6,177500,1
2980,6,1159.0,290.0,756,2,0,0,32,5,177000,1
2572,7,0.0,92.0,720,2,0,0,44,5,155000,1
2403,7,0.0,286.0,550,2,0,0,50,6,147110,1
12853,8,0.0,610.0,0,1,1,160,192,4,267916,1
7379,8,0.0,491.0,873,2,1,280,184,4,254000,1
4420,8,0.0,0.0,0,1,1,133,42,6,155000,1
3880,8,0.0,174.0,0,1,1,223,78,1,206000,1
13517,6,289.0,192.0,754,2,0,0,44,3,130500,1
8000,7,0.0,659.0,0,2,1,277,137,4,230000,1
10456,6,120.0,1323.0,0,2,0,0,76,5,218500,1
10791,6,0.0,143.0,1215,2,1,224,32,3,243500,1
10603,6,28.0,410.0,0,2,2,168,68,2,205000,1
18837,6,0.0,491.0,604,3,1,0,69,4,212500,1
10421,7,42.0,586.0,734,2,1,228,66,3,196500,1
